turn,box5,box6,box7,box8
55,50,50,50,50
56,50,50,50,50
57,100,50,50,50
58,100,100,50,50
59,150,100,100,50
60,200,150,100,50
61,300,200,150,100
62,350,250,150,100
63,500,350,200,150
64,650,450,250,150
65,850,550,350,200
66,1100,750,450,250
67,1400,950,600,350
68,1850,1250,750,450
69,2400,1600,1000,550
70,3100,2100,1250,700
71,4050,2700,1650,900
72,5250,3500,2100,1200
73,6800,4550,2750,1550
74,8850,5900,3550,2000
75,11500,7650,4600,2550
76,14900,9950,5950,3350
77,19400,12900,7750,4300
78,25100,16800,10100,5600
79,32550,21700,13050,7250
