turn,bet
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,150
77,150
78,150
79,150
80,150
81,200
82,200
83,200
84,200
85,250
86,250
87,250
88,300
89,300
90,350
91,350
92,400
93,400
94,450
95,450
96,500
97,550
98,600
99,600
100,650
101,700
102,750
103,800
104,850
105,950
106,1000
107,1050
108,1150
109,1250
110,1300
111,1400
112,1500
113,1600
114,1750
115,1850
116,2000
117,2150
118,2300
119,2450
120,2650
121,2800
122,3000
123,3250
124,3450
125,3700
126,3950
127,4250
128,4550
129,4900
130,5250
131,5600
132,6000
133,6450
134,6900
135,7400
136,7900
137,8500
138,9100
139,9750
140,10450
141,11200
142,12000
143,12850
144,13750
145,14750
146,15800
147,16900
