turn,box5,box6,box7,box8
53,50,50,50,50
54,50,50,50,50
55,100,50,50,50
56,100,100,50,50
57,150,100,100,50
58,200,150,100,50
59,300,200,150,100
60,350,250,150,100
61,500,350,200,150
62,650,450,250,150
63,850,550,350,200
64,1100,750,450,250
65,1400,950,600,350
66,1850,1250,750,450
67,2400,1600,1000,550
68,3100,2100,1250,700
69,4050,2700,1650,900
70,5250,3500,2100,1200
71,6800,4550,2750,1550
72,8850,5900,3550,2000
73,11500,7650,4600,2550
74,14900,9950,5950,3350
75,19400,12900,7750,4300
76,25100,16800,10100,5600
77,32550,21700,13050,7250
