turn,bet
199,50
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,50
218,50
219,50
220,50
221,50
222,50
223,50
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,150
247,150
248,150
249,150
250,150
251,150
252,150
253,150
254,150
255,150
256,150
257,150
258,150
259,150
260,150
261,200
262,200
263,200
264,200
265,200
266,200
267,200
268,200
269,200
270,200
271,200
272,250
273,250
274,250
275,250
276,250
277,250
278,250
279,250
280,250
281,300
282,300
283,300
284,300
285,300
286,300
287,300
288,350
289,350
290,350
291,350
292,350
293,350
294,350
295,400
296,400
297,400
298,400
299,400
300,450
301,450
302,450
303,450
304,450
305,500
306,500
307,500
308,500
309,500
310,550
311,550
312,550
313,550
314,600
315,600
316,600
317,650
318,650
319,650
320,650
321,700
322,700
323,700
324,750
325,750
326,750
327,800
328,800
329,800
330,850
331,850
332,900
333,900
334,900
335,950
336,950
337,1000
338,1000
339,1050
340,1050
341,1050
342,1100
343,1100
344,1150
345,1150
346,1200
347,1250
348,1250
349,1300
350,1300
351,1350
352,1350
353,1400
354,1450
355,1450
356,1500
357,1550
358,1550
359,1600
360,1650
361,1700
362,1700
363,1750
364,1800
365,1850
366,1900
367,1950
368,1950
369,2000
370,2050
371,2100
372,2150
373,2200
374,2250
375,2300
376,2350
377,2400
378,2450
379,2500
380,2600
381,2650
382,2700
383,2750
384,2800
385,2900
386,2950
387,3000
388,3100
389,3150
390,3250
391,3300
392,3350
393,3450
394,3550
395,3600
396,3700
397,3800
398,3850
399,3950
400,4050
401,4150
402,4250
403,4300
404,4400
405,4500
406,4600
407,4750
408,4850
409,4950
410,5050
411,5150
412,5300
413,5400
414,5550
415,5650
416,5800
417,5900
418,6050
419,6200
420,6350
421,6500
422,6600
423,6750
424,6900
425,7050
426,7200
427,7400
428,7550
429,7750
430,7900
431,8100
432,8250
433,8450
434,8650
435,8850
436,9050
437,9250
438,9450
439,9650
440,9900
441,10100
